Date,US30Y,Open/Close % Change,VixOpen/Close % Change,MUD,High/Low % Change,Total Percent Change,Vixopen,Vixhigh,Vixlow,Vixclose,US3M,US3Y
5/17/1993,6.97,0.0007,0.050955432,0,0.005,0.07082153,14.85000038,14.85000038,14.10000038,14.13000011,3.08,4.47
5/18/1993,7.02,-0.0014,0.023255876,1,0.0057,0,14.52000046,14.61999989,14.07999992,14.18999958,3.08,4.49
5/19/1993,6.98,0.0201,0.011896436,1,0.0271,2.053824363,14.46000004,15.02000046,13.76000023,14.28999996,3.03,4.45
5/20/1993,6.99,0.0028,0.034334801,0,0.0049,2.337110482,14.46000004,15.10999966,13.31000042,13.97999954,3.03,4.45
5/21/1993,7.03,-0.0098,-0.024121322,1,0.0119,1.416430595,14.15999985,14.96000004,13.67000008,14.51000023,3.07,4.53
5/24/1993,6.99,0.0021,0.004255281,0,0.0056,1.841359773,14.15999985,14.80000019,14.09000015,14.10000038,3.15,4.59
5/25/1993,7.01,-0.0021,-0.022079802,1,0.0021,2.053824363,13.72999954,14.34000015,13.72999954,14.03999996,3.14,4.59
5/26/1993,6.94,0.0096,0.024844697,0,0.0111,3.328611898,13.19999981,13.81999969,12.88000011,12.88000011,3.12,4.57
5/27/1993,6.93,-0.0048,0.036641185,0,0.0062,2.974504249,13.57999992,13.72999954,13.09000015,13.10000038,3.13,4.6
5/28/1993,6.98,-0.0041,-0.01930217,1,0.009,2.478753541,13.21000004,13.85999966,13.11999989,13.47000027,3.13,4.63
6/1/1993,6.88,0.0062,-0.002194567,1,0.011,3.470254958,13.64000034,14.63000011,13.64000034,13.67000008,3.14,4.54
6/2/1993,6.88,0.0014,0.008160283,0,0.009,3.328611898,13.59000015,14.21000004,13.18000031,13.47999954,3.14,4.57
6/3/1993,6.86,-0.0014,0.00960119,0,0.0034,2.974504249,13.67000008,14.11999989,13.47000027,13.53999996,3.1,4.52
6/4/1993,6.91,-0.0007,0.00777608,0,0.0049,2.620396601,12.96000004,13.51000023,12.85999966,12.85999966,3.18,4.67
6/7/1993,6.88,-0.0055,-0.093105863,0,0.0055,2.266288952,12.76000023,14.77999973,12.63000011,14.06999969,3.2,4.66
6/8/1993,6.91,-0.0063,0.032564485,1,0.0063,1.345609065,15.22000027,15.22000027,14.27000046,14.73999977,3.2,4.7
6/9/1993,6.87,0,0.127507144,1,0.0056,1.699716714,15.73999977,15.88000011,13.75,13.96000004,3.18,4.67
6/10/1993,6.88,0.0014,0.021036794,1,0.0042,1.770538244,13.59000015,14.23999977,13.28999996,13.31000042,3.18,4.67
6/11/1993,6.8,0.0007,0.050354079,0,0.0056,2.195467422,13.35000038,13.42000008,12.71000004,12.71000004,3.12,4.53
6/14/1993,6.81,-0.0028,-0.000811049,0,0.0035,2.053824363,12.31999969,12.35999966,12.18000031,12.32999992,3.13,4.52
6/15/1993,6.83,-0.0035,0.02752293,1,0.0042,1.841359773,12.31999969,12.97000027,11.93000031,11.98999977,3.12,4.49
6/16/1993,6.82,0.0021,0.037910684,1,0.0049,2.053824363,12.31999969,12.84000015,11.86999989,11.86999989,3.11,4.47
6/17/1993,6.81,0.0014,0.102058366,0,0.0035,2.407932011,12.85000038,12.86999989,11.53999996,11.65999985,3.1,4.47
6/18/1993,6.82,-0.0077,-0.041666686,0,0.0077,0.849858357,11.72999954,12.39999962,11.72999954,12.23999977,3.13,4.53
6/21/1993,6.78,-0.0007,0.026122424,0,0.0021,1.062322946,12.56999969,12.64999962,12.22999954,12.25,3.17,4.51
6/22/1993,6.78,-0.0007,0.001716778,0,0.0021,1.133144476,11.67000008,12.06999969,11.39000034,11.64999962,3.16,4.51
6/23/1993,6.77,-0.0092,-0.066445199,1,0.0092,0.212464589,11.23999977,12.32999992,11.14000034,12.03999996,3.19,4.54
6/24/1993,6.74,0.0105,0.053877539,1,0.0106,1.558073654,12.90999985,12.97000027,12.23999977,12.25,3.17,4.49
6/25/1993,6.71,0,0.079999966,1,0.0035,1.487252125,12.14999962,12.14999962,11.10999966,11.25,3.15,4.45
6/28/1993,6.67,0.0062,0.091809225,0,0.0077,2.620396601,12.13000011,12.88000011,11.06999969,11.10999966,3.11,4.41
6/29/1993,6.67,-0.0035,0.01505758,0,0.0049,2.124645892,11.46000004,11.78999996,11.27000046,11.28999996,3.1,4.37
